User_ID,Car cancellations
22177,0
21413,0
22178,0
13034,0
22180,0
17712,0
22172,0
22181,0
22182,0
22184,0
4941,1
17037,0
22185,0
22186,1
16,0
15097,0
761,0
22189,0
17226,0
868,0
22190,0
16,0
21558,1
21995,0
22192,0
22193,0
20430,0
22194,0
21716,1
38966,0
12973,0
22196,0
8327,0
22200,0
22201,0
22202,0
20340,0
97,0
22203,0
26940,0
22206,0
819,0
22208,0
17905,0
403,0
22209,0
22210,0
15846,0
22211,0
22212,0
3859,0
22213,0
22214,0
3316,0
39439,0
22216,0
22217,0
19469,0
15815,1
21903,0
19545,0
7500,0
22221,0
18675,0
19322,0
12827,0
12827,0
868,0
22223,0
15611,0
22196,0
21995,0
25413,0
21235,0
15529,0
22226,0
15846,0
22226,0
22227,0
22228,0
2005,0
22229,0
22230,0
21333,0
22232,0
22196,0
22233,0
15485,0
22235,0
22234,0
22236,0
18777,0
22238,0
22196,0
18521,0
1112,0
22239,0
22240,0
19387,0
22242,0
33406,0
694,0
19545,0
5606,0
22243,0
22245,0
22245,0
22245,0
22245,0
22246,0
22248,0
22249,1
22250,0
20916,0
22251,0
5135,0
9372,1
22252,0
70,0
592,0
16903,0
16868,0
22254,0
22254,0
22255,0
33542,0
22257,0
22259,0
21148,0
1649,0
17888,0
21761,0
22260,0
21050,0
22261,0
22262,0
22263,0
2380,0
22264,0
12565,0
22265,0
22266,0
18150,0
22267,0
21941,0
21967,0
22268,0
22270,0
22271,0
4227,0
22272,0
55,0
22273,0
22274,0
1256,0
20432,0
1290,0
41448,0
22275,0
22276,0
21995,0
22277,0
21343,0
22278,0
22279,0
22280,0
22281,0
868,1
22274,1
2858,0
22282,0
22283,0
868,0
22285,0
15676,0
22286,0
22378,0
22288,0
18521,0
22289,0
20916,0
22290,0
21577,0
22291,0
22292,0
22063,0
22293,0
22294,0
1154,0
18372,0
5761,0
694,0
22297,0
22298,0
22300,0
2380,0
4865,0
9506,0
4865,0
16329,0
21644,0
22301,0
19545,0
22302,0
18096,0
22303,0
1186,0
22304,0
22305,1
22306,0
22307,0
59,0
25774,0
603,0
20819,0
22308,0
22310,0
22309,0
21666,0
22311,0
22312,0
21323,0
22297,0
20109,0
16039,0
22313,0
22315,0
22314,0
18046,0
22316,0
22236,0
34078,0
21102,0
22318,0
22319,0
22320,0
40040,0
2981,0
22321,0
22322,0
19126,1
19387,0
8245,0
22323,0
8235,0
22324,0
22325,0
22326,0
22327,0
22328,0
22329,0
20306,0
22330,0
21088,0
22332,1
19619,0
22334,0
22335,0
756,0
22336,0
22337,0
2017,0
22338,0
20690,0
15485,0
22339,0
15485,0
22340,0
22343,0
15072,0
22236,0
18675,0
22345,0
2053,0
22346,0
20764,0
22347,0
22347,0
17444,0
18551,0
21858,0
22351,0
22352,0
22355,0
22357,0
20916,0
22358,0
22359,0
22360,0
22302,0
22363,0
19163,0
22364,0
4778,0
81,0
22365,0
22557,0
16628,0
22367,0
20430,0
8281,0
22369,0
17528,0
22370,0
22370,0
24916,0
22372,0
22375,0
41448,0
22377,0
5871,0
22378,0
22379,0
7335,0
28628,0
21659,0
26797,0
15272,0
15272,0
1055,0
22381,0
16934,0
301,0
18898,0
18898,0
18310,0
22384,0
8327,0
22385,0
18638,0
22346,0
22386,0
22387,0
20916,0
20916,0
22388,0
14257,0
22389,0
5093,0
22390,0
22390,0
22391,0
19749,0
16425,0
16425,0
22392,0
22393,0
18275,1
22357,0
22357,0
22394,0
19619,0
20919,0
22397,0
20094,0
22398,1
18930,0
17888,0
22399,0
22400,1
5261,0
22402,0
1818,0
22403,0
17664,0
22404,0
22405,0
22406,0
22407,0
756,0
756,0
17236,0
22408,0
41298,1
22412,0
22414,0
22415,0
22416,0
22416,0
22417,0
22418,0
19900,0
9483,0
4099,0
22420,0
16070,0
21692,0
22421,0
21901,0
22422,0
22423,0
22424,0
22425,0
22426,0
22427,0
22372,0
24916,0
22004,0
15315,0
19163,1
22429,0
33347,0
17226,0
92,1
21995,0
22431,0
24836,0
22434,0
21727,0
22434,0
5773,0
18053,0
22435,0
21893,0
22436,0
22437,0
7500,0
22438,0
22439,0
21672,0
22440,0
22442,0
22445,0
13781,0
22447,0
19749,0
17032,0
21893,0
19071,0
22448,0
22236,0
20830,0
19025,0
19619,0
24836,0
15800,0
21619,0
19372,0
22450,0
22451,0
22004,0
22452,0
22455,0
22456,0
22457,0
27049,0
22459,0
22460,0
2602,0
17008,0
22462,0
18853,0
28187,0
22321,0
4318,0
22464,0
41,0
21288,0
2195,0
22466,0
18939,1
15846,0
22468,0
22469,1
16239,0
8344,0
22470,0
4227,1
22471,0
21505,0
19371,0
22473,0
22474,1
22475,0
22212,0
21443,0
22476,0
22372,0
35,1
22212,0
16239,1
19280,0
22477,0
22478,0
24916,0
22480,0
22481,0
16801,0
868,0
22482,0
22063,0
22288,0
4491,0
18819,0
22486,0
18476,0
18476,0
22484,0
15676,0
22485,0
20248,0
22486,0
22487,0
22319,0
22488,0
14344,1
22489,0
22490,0
22325,0
22489,0
16174,0
19545,0
8919,0
22491,0
788,0
20501,0
22492,1
17285,0
22493,0
20380,0
22301,0
24784,0
12550,0
22495,0
22496,0
22499,0
20199,0
22500,0
22501,0
8272,0
22502,0
22356,0
17888,0
22503,0
22505,0
21931,0
22509,0
12479,0
22510,0
22511,0
18310,0
22481,0
22512,0
22513,1
22515,0
17664,0
22516,0
21323,0
13978,0
22519,0
17730,0
19126,0
22520,0
24916,0
24916,0
24916,0
17335,0
22521,0
22481,0
2374,0
12827,0
22522,0
22523,0
13265,0
18311,0
868,0
868,0
14063,0
22524,0
13265,0
21186,0
22525,0
22525,0
22526,0
22527,0
22528,0
20225,0
2374,0
22529,0
20916,0
20501,0
22531,0
22532,0
22533,0
18348,0
21479,0
22534,0
21479,0
22536,0
18310,0
22537,0
22538,0
22539,0
22540,0
22270,0
22541,0
22542,0
22325,0
22543,0
868,0
23322,0
20774,0
868,0
13015,0
22545,0
22546,0
1649,0
22547,0
22548,0
22481,0
5120,0
21678,0
22551,0
4734,0
4734,0
17664,0
22552,0
25774,0
22553,0
22554,0
22502,0
22556,0
22557,0
18046,0
22559,0
3097,0
22560,0
22561,0
20994,0
16934,0
15072,0
19462,0
5299,0
22428,0
13164,0
22562,0
22563,0
22564,0
33719,0
22567,0
20994,0
19387,0
22481,0
22568,0
22569,0
22570,0
22571,0
22572,0
22559,0
22573,1
22574,0
22575,0
22576,0
21893,0
22577,0
21716,0
20720,0
22578,0
22552,0
22580,0
22502,0
22583,0
1154,0
22584,0
22585,0
22587,0
22588,0
22586,0
22589,0
22591,0
22590,0
22592,0
22593,0
15889,0
97,0
97,0
22594,0
20665,0
17704,0
12849,0
41273,0
19767,0
22596,0
22597,0
22598,0
22599,0
22601,0
22602,0
22603,0
17664,0
22503,0
24924,0
22605,0
22481,0
22606,0
22607,0
22608,0
20415,0
22611,0
22613,0
22615,0
22616,0
20830,0
26148,0
22617,0
22618,0
22502,0
22619,0
22621,0
21558,0
3588,0
20340,0
22622,0
22623,0
22624,0
17108,0
22626,0
22627,0
22628,0
22629,1
15973,0
22630,0
22631,0
22630,0
22632,0
22633,0
3355,0
22635,0
22569,0
22636,0
21204,0
22637,0
22637,0
19468,0
22638,0
22639,0
22640,0
5878,1
18046,0
22641,0
22643,0
22644,0
17719,0
22645,0
22646,0
22645,0
22647,0
9205,0
20916,0
17782,0
22502,0
22648,0
22649,0
2277,0
19640,0
2374,0
22651,0
8769,0
21344,0
21039,0
8769,0
21755,0
22652,0
22653,0
21643,0
22654,0
22549,0
22655,1
22659,0
22471,0
22661,0
22662,0
22663,0
22665,0
22667,0
25665,0
22668,0
16504,0
3017,0
19390,0
22671,0
18996,0
22672,0
22673,0
22674,0
22676,0
17664,0
22677,0
22678,0
15597,0
22679,0
16710,0
12827,0
22245,0
22681,0
22564,0
2257,0
864,0
3720,0
22682,0
21858,0
314,0
19619,0
18629,0
35,0
35,0
22684,0
15906,0
22492,0
15094,0
17900,0
22686,0
22502,0
17888,0
21558,0
12827,0
8272,1
22688,0
21112,0
22689,0
13606,0
22690,0
2148,0
17664,0
74,0
19897,0
22691,0
22452,0
19619,0
22693,0
17888,0
4410,0
22695,0
868,0
16586,0
22022,0
22697,0
7321,0
22698,0
22699,0
22700,0
22701,0
22702,0
23840,0
22704,0
8919,0
19060,0
22707,0
22814,0
18147,0
21907,0
22704,0
1394,0
22708,0
997,0
22709,0
22710,0
22711,0
743,0
31025,0
22714,0
17854,0
22717,0
22718,0
22721,0
14094,0
30802,0
14257,0
2602,0
22724,0
22725,0
22726,0
15094,0
13606,0
22477,0
22729,0
22730,0
22731,0
22732,0
22733,0
22734,0
20926,0
22735,0
22736,1
22737,0
22738,0
22741,0
22682,0
22742,0
22743,0
31025,0
22744,0
15932,0
35287,0
15932,0
22747,0
22748,0
22749,0
22750,0
104,0
22751,0
17443,0
22753,0
18298,0
22753,0
22754,0
13015,0
22755,0
22756,0
22758,1
22759,0
22758,0
22760,0
7391,0
16746,0
16746,0
22761,0
18669,0
868,0
868,0
20432,0
17844,0
22762,0
21435,0
22764,0
22496,0
22765,0
3208,0
3208,0
22766,0
9829,0
22767,0
16902,0
22768,0
18178,0
22768,0
22744,0
15947,0
17352,0
22773,0
22774,0
14062,0
22775,0
19734,0
22776,0
868,0
868,0
14505,0
19468,0
8865,0
22778,0
21716,0
22780,0
22781,0
22782,0
22783,1
22783,0
17127,0
22592,0
22547,0
22547,0
15195,0
15195,0
15195,0
15195,0
22786,1
21901,0
22612,0
22787,0
18355,0
22789,0
9274,0
22790,0
5878,0
22473,0
22791,0
22792,0
22793,0
22795,0
3454,0
605,0
22796,0
22797,0
4038,1
3097,0
20860,0
22799,0
7500,0
20289,0
16902,0
18275,0
22801,0
16239,0
20994,0
1818,0
6831,0
2257,0
31025,0
22804,0
22805,0
2033,0
22806,0
22807,0
17664,0
22808,0
22753,0
13803,0
22809,0
22810,0
22793,0
18577,0
22811,1
22812,0
22735,1
16504,0
22813,0
22815,0
22816,0
35,0
22817,0
8769,0
22818,0
22819,0
22820,0
22822,0
12957,0
7000,0
22824,0
22823,0
22815,0
22827,0
22829,0
22592,0
22830,0
22831,0
22832,0
22833,0
22834,0
24964,0
7335,0
22837,0
22759,0
22839,0
4300,0
22840,0
22797,0
22841,0
22842,0
22844,0
22845,0
41321,0
3468,0
22846,0
22789,0
22848,0
22849,0
22850,0
8467,0
22851,0
20820,0
6831,0
868,0
22853,0
868,0
19734,0
22855,0
20302,0
6412,0
22857,0
22859,0
22861,0
22862,0
6165,0
22863,0
22864,0
22866,0
22865,0
22867,0
22868,0
22870,0
1870,0
22871,0
17664,0
22872,0
22659,0
8467,0
22873,0
20340,0
868,1
22874,0
15315,0
19792,0
22875,0
22876,0
22877,0
18777,0
22878,0
14257,0
41448,0
22601,0
